title,author,type,category,status,startedAt,completedAt,published,ref,notes
"Actions, Reasons, and Causes",Donald Davidson,paper,philosophy,completed,,"December 1, 2019",1963,https://philpapers.org/rec/DAVARA-6,
Events,David Lewis,paper,philosophy,completed,,"November 17, 2019",1986,https://philpapers.org/rec/LEWE,
Counterfactual Dependence and Time's Arrow,David Lewis,paper,philosophy,completed,,"November 13, 2019",1979,https://philpapers.org/rec/LEWCDA,
The Idea of Equality,Bernard Williams,paper,philosophy,completed,,"October 27, 2019",1973,https://philpapers.org/rec/WILTIO-72,
The Price of Information,Gary Gates,paper,philosophy,completed,,"October 23, 2019",1996,https://philpapers.org/rec/GATTPO,
A Classification off Illocutionary Acts,John R. Searle,paper,philosophy,completed,,"October 20, 2019",1976,https://www.jstor.org/stable/4166848?seq=1#page_scan_tab_contents,
Consciousness and Reference,John Campbell,paper,philosophy,completed,,"October 13, 2019",2011,https://philpapers.org/rec/CAMCAR,"Cited by Searle. Campbell rejects intentionalistic theories"
The Causal Theory of Perception,H.P. Grice,paper,philosophy,completed,,"October 6, 2019",1961,https://philpapers.org/rec/GRITCT-3,
Intention and Uncertainty,H.P. Grice,paper,philosophy,completed,,"September 29, 2019",1971,https://philpapers.org/rec/GRIIAU,
Causation,David Lewis,paper,philosophy,completed,,"September 19, 2019",1973,https://philpapers.org/rec/LEWC,
"Reasoning, Meaning and Mind",Gilbert Harman,paper,philosophy,completed,,"September 8, 2019",,, 
Holes,"David Lewis, Stephanie Lewis",paper,philosophy,completed,,"August 27, 2019",1970,https://philpapers.org/rec/LEWH,
"Sense, reference and selective attention","John Campbell, M.G.F. Martin",paper,philosophy,completed,,"August 4, 2019",1997,https://philpapers.org/rec/CAMSRA,
Moral Luck,Thomas Nagel,paper,philosophy,completed,,"July 14, 2019",1993,https://philpapers.org/rec/NAGML,
Psychosemantics Epilogue: Creation Myth,Jerry Fodor,paper,philosophy,completed,,"July 10, 2019",1987,https://philpapers.org/rec/FODPTP,
Mental Events,Donald Davidson,paper,philosophy,completed,,"July 7, 2019",1970,https://philpapers.org/rec/DAVME-2,
Three Grades of Modal Involvement,W.V. Quine,paper,philosophy,completed,,"July 4, 2019",,,
Psychosemantics,Jerry Fodor,paper,philosophy,completed,,"June 25, 2019",,,
Toward a Cognitive Theory of Consciousness,Daniel Dennett,paper,philosophy,completed,,"June 23, 2019",,,
Psychosemantics 4: Meaning and the World Order,Jerry Fodor,paper,philosophy,completed,,"June 19, 2019",,https://philpapers.org/rec/FODPTP,
Mental Paint,Ned Block,paper,philosophy,completed,,"June 16, 2019",,,
Reference and Modality,W.V. Quine,paper,philosophy,completed,,"June 12, 2019",,,
The Myth of the Subjective,Donald Davidson,paper,philosophy,completed,,"June 9, 2019",,,
Knowing How,"Jason Stanley, Timothy Williamson",paper,philosophy,completed,,"June 2, 2019",,,
Metaphysics after Carnap: The Ghost Who Walks?,Huw Price,paper,philosophy,completed,,"May 29, 2019",2009,https://philpapers.org/rec/PRIMAC,
Skepticism about Enlightenment,Hillary Putnam,paper,philosophy,completed,,"May 26, 2019",,,
On What There Is,W.V. Quine,paper,philosophy,completed,,"May 19, 2019",,,
Ontology and Alternative Languages,Eli Hirsch,paper,philosophy,completed,,"May 15, 2019",,,
Two Dogmas of Empiricism,W.V. Quine,paper,philosophy,completed,,"May 12, 2019",,,
In Defense of a Dogma,"Paul Grice, Peter Strawson",paper,philosophy,completed,,"May 12, 2019",,,
Psychosemantics 2: Individualism and Supervenience,Jerry Fodor,paper,philosophy,completed,,"May 8, 2019",1987,https://philpapers.org/rec/FODPTP,
Putnam and the Relativist Menace,Richard Rorty,paper,philosophy,completed,,"May 5, 2019",,,
Philosophy as a Humanistic Discipline,Bernard Williams,paper,philosophy,completed,,"April 28, 2019",,,
Plato's Pharmacy and Derrida's Drugstore,Chris Mortensen,paper,philosophy,completed,,"April 21, 2019",,,
Plato's Pharmacy,Jacques Derrida,paper,philosophy,completed,,"April 14, 2019",,,
Phaedrus,Plato,paper,philosophy,completed,,"April 7, 2019",,,
The Sovereignty of Good Over Other Concepts,Iris Murdoch,paper,philosophy,completed,,"March 31, 2019",,,
Sexual Perversion,Thomas Nagel,paper,philosophy,completed,,"March 24, 2019",,https://philpapers.org/rec/NAGSP,
Internalism and Externalism in Epistemology,William Alston,paper,philosophy,completed,,"March 17, 2019",,https://philpapers.org/rec/ALSIAE-2,
Death is a Punch in the Jaw,Felicia Ackerman,paper,philosophy,completed,,"March 10, 2019",,https://philpapers.org/rec/ACKDIA,
An Argument for Skepticism,Peter Unger,paper,philosophy,completed,,"March 3, 2019",,,
Deciding to Believe,Bernard Williams,paper,philosophy,completed,,"February 24, 2019",,https://philpapers.org/rec/WILDTB-2,
Deciding to Believe,Carl Ginet,paper,philosophy,completed,,"February 24, 2019",,https://philpapers.org/rec/GINDTB,
Biology and Ethics,Philip Kitcher,paper,philosophy,completed,,"February 17, 2019",2005,https://philpapers.org/rec/KITBAE,
Varieties of Naturalism,Owen Flanagan,paper,philosophy,completed,,"February 3, 2019",2006,https://philpapers.org/rec/FLAVON,
Human Nature,David Hull,paper,philosophy,completed,,"January 27, 2019",1986,https://philpapers.org/rec/HULOHN-3,
Essentialism in Biology,John Wilkins,paper,philosophy,completed,,"January 20, 2019",2013,https://philpapers.org/rec/WILEIB,